time,latitude,longitude,elevation
2009-03-21 14:50:10 +0000,35.903795,-82.778324,732.662000
2009-03-21 14:50:23 +0000,35.903755,-82.778175,731.700000
2009-03-21 14:50:29 +0000,35.903745,-82.778097,732.181000
2009-03-21 14:50:47 +0000,35.903602,-82.777946,730.739000
2009-03-21 14:51:05 +0000,35.903414,-82.777775,728.817000
2009-03-21 14:51:09 +0000,35.903370,-82.777738,727.375000
2009-03-21 14:51:17 +0000,35.903292,-82.777674,726.894000
2009-03-21 14:51:24 +0000,35.903221,-82.777640,725.933000
2009-03-21 14:51:39 +0000,35.903051,-82.777635,724.491000
2009-03-21 14:51:49 +0000,35.902951,-82.777677,724.010000
2009-03-21 14:52:07 +0000,35.902890,-82.777908,723.049000
2009-03-21 14:52:19 +0000,35.902931,-82.778044,722.568000
2009-03-21 14:52:26 +0000,35.902942,-82.778136,722.568000
2009-03-21 14:52:34 +0000,35.902961,-82.778252,723.049000
2009-03-21 14:52:47 +0000,35.903018,-82.778411,722.568000
2009-03-21 14:52:53 +0000,35.902994,-82.778493,722.087000
2009-03-21 14:52:56 +0000,35.902968,-82.778537,722.087000
2009-03-21 14:53:14 +0000,35.902743,-82.778709,722.568000
2009-03-21 14:53:22 +0000,35.902657,-82.778810,723.049000
2009-03-21 14:53:29 +0000,35.902616,-82.778921,722.568000
2009-03-21 14:53:41 +0000,35.902540,-82.779065,722.568000
2009-03-21 14:53:59 +0000,35.902355,-82.779118,723.530000
2009-03-21 14:54:05 +0000,35.902301,-82.779117,723.049000
2009-03-21 14:54:22 +0000,35.902201,-82.779091,722.087000
2009-03-21 14:54:29 +0000,35.902162,-82.779030,722.087000
2009-03-21 14:54:34 +0000,35.902149,-82.778974,721.607000
2009-03-21 14:54:48 +0000,35.902058,-82.778839,721.126000
2009-03-21 14:55:00 +0000,35.901927,-82.778734,720.165000
2009-03-21 14:55:10 +0000,35.901832,-82.778616,718.242000
2009-03-21 14:55:18 +0000,35.901781,-82.778522,717.761000
2009-03-21 14:55:32 +0000,35.901669,-82.778376,717.281000
2009-03-21 14:55:46 +0000,35.901556,-82.778336,715.839000
2009-03-21 14:55:51 +0000,35.901527,-82.778359,714.877000
2009-03-21 14:56:01 +0000,35.901470,-82.778446,714.877000
2009-03-21 14:56:15 +0000,35.901440,-82.778621,714.397000
2009-03-21 14:56:29 +0000,35.901421,-82.778815,714.397000
2009-03-21 14:56:44 +0000,35.901275,-82.778874,713.916000
2009-03-21 14:57:00 +0000,35.901099,-82.778816,713.916000
2009-03-21 14:57:15 +0000,35.900915,-82.778789,712.955000
2009-03-21 14:57:22 +0000,35.900831,-82.778769,712.955000
2009-03-21 14:57:24 +0000,35.900813,-82.778758,712.955000
2009-03-21 14:57:37 +0000,35.900719,-82.778797,713.436000
2009-03-21 14:57:54 +0000,35.900635,-82.778907,713.436000
2009-03-21 14:58:32 +0000,35.900634,-82.778861,714.397000
2009-03-21 14:59:13 +0000,35.900632,-82.778860,713.436000
2009-03-21 14:59:28 +0000,35.900572,-82.779014,712.474000
2009-03-21 14:59:31 +0000,35.900571,-82.779048,711.513000
2009-03-21 14:59:48 +0000,35.900647,-82.779242,710.071000
2009-03-21 15:00:04 +0000,35.900745,-82.779377,708.629000
2009-03-21 15:00:20 +0000,35.900854,-82.779520,706.706000
2009-03-21 15:00:35 +0000,35.900923,-82.779747,706.706000
2009-03-21 15:00:48 +0000,35.900962,-82.779944,704.784000
2009-03-21 15:00:58 +0000,35.900876,-82.780081,704.303000
2009-03-21 15:01:00 +0000,35.900855,-82.780094,704.303000
2009-03-21 15:01:04 +0000,35.900799,-82.780097,704.303000
2009-03-21 15:01:21 +0000,35.900659,-82.780172,702.861000
2009-03-21 15:01:38 +0000,35.900501,-82.780230,701.419000
2009-03-21 15:01:40 +0000,35.900487,-82.780240,701.900000
2009-03-21 15:01:53 +0000,35.900457,-82.780350,700.938000
2009-03-21 15:02:08 +0000,35.900453,-82.780419,699.977000
2009-03-21 15:02:24 +0000,35.900554,-82.780558,699.496000
2009-03-21 15:02:30 +0000,35.900560,-82.780659,699.016000
2009-03-21 15:02:46 +0000,35.900458,-82.780850,699.496000
2009-03-21 15:02:51 +0000,35.900436,-82.780915,699.496000
2009-03-21 15:03:06 +0000,35.900433,-82.781135,696.613000
2009-03-21 15:03:14 +0000,35.900423,-82.781251,696.613000
2009-03-21 15:03:19 +0000,35.900382,-82.781320,697.093000
2009-03-21 15:03:25 +0000,35.900330,-82.781399,697.574000
2009-03-21 15:03:40 +0000,35.900168,-82.781547,697.574000
